id,name,second_name,pre_surname,surname,main_job,fullname,Aid,orcid
5C3E8CE3E84CD215A33EAF9F79530FD00F92CD9B,Izabella,,,Kucharczyk,Akademia_Pedagogiki_Specjalnej_Marii_Grzegorzewskiej_w_Warszawie,Izabella Kucharczyk,Izabella_Kucharczyk_jBI,
22C8DC20B648530CBC200C587BF311E0B1E4192F,Joanna,,,Kucharewicz,Uniwersytet_Śląski_w_Katowicach,Joanna Kucharewicz,Joanna_Kucharewicz_LSP,
AC52A799254D0F83733BCADD925A7DE775A16FAD,Katarzyna,,,Kucharska,Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,Katarzyna Kucharska,Katarzyna_Kucharska_Bt2,0000-0002-6130-0520
79784BD1A9AF280EA80AE8D7095695D54C38B9BD,Marta,Justyna,,Kucharska-Hauk,Uniwersytet_Łódzki,Marta Justyna Kucharska-Hauk,Marta_Justyna_Kucharska-Hauk_p41,0000-0002-5004-7275
3B6045481C117158A1F6857C1FD7C4E53E76FAAB,ADAM,,,KUCHARSKI,Uniwersytet_Szczeciński,ADAM KUCHARSKI,ADAM_KUCHARSKI_6am,0000-0002-2689-3797
99F73133CC66B352000956DF0A5C12760724830E,Katarzyna,Anna,,Kuć,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Katarzyna Anna Kuć,Katarzyna_Anna_Kuć_OSw,0000-0002-1474-8410
2B7338DD9DCB88FF2FF84960FE05511815E5C68B,Aleksandra,,,Kűhn-Dymecka,Uniwersytet_Kardynała_Stefana_Wyszyńskiego_w_Warszawie,Aleksandra Kűhn-Dymecka,Aleksandra_Kűhn-Dymecka_4zx,0000-0002-1874-5591
D85882A26EC9C07622392684738BFF2E58BA7E86,Jarosław,Tadeusz,,Kulbat,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Jarosław Tadeusz Kulbat,Jarosław_Tadeusz_Kulbat_tK6,
8EF965F43F69396429D518FBE66A9D0AF9D2CDF1,Wojciech,Marek,,Kulesza,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Wojciech Marek Kulesza,Wojciech_Marek_Kulesza_91B,0000-0001-5457-6396
098F443B84D05098AAD36DFDA96D4700F5AF6FCB,Małgorzata,,,Kuleta-Krzyszkowiak,Uniwersytet_Jagielloński_w_Krakowie,Małgorzata Kuleta-Krzyszkowiak,Małgorzata_Kuleta-Krzyszkowiak_OZP,
2DCCB6C62DD7C681671D193C3F8D47BD2BBB3294,Agnieszka,,,Kulik,Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,Agnieszka Kulik,Agnieszka_Kulik_OdT,
85D7757D8B4B2AF7D115348BFB72EC8EA00D6FAD,MAŁGORZATA,MARIA,,KULIK,Uniwersytet_Szczeciński,MAŁGORZATA MARIA KULIK,MAŁGORZATA_MARIA_KULIK_eOa,
D51F93369EE4624BDE094C3CB243A7458D38AF2C,Katarzyna,,,Kulwicka,SWPS_Uniwersytet_Humanistycznospołeczny_z_siedzibą_w_Warszawie,Katarzyna Kulwicka,Katarzyna_Kulwicka_C8r,0000-0002-4731-1901
D2B7FDE337460B6BDF9A1C0673E729399A4ADC27,Dorota,Krystyna,,Kuncewicz,Katolicki_Uniwersytet_Lubelski_Jana_Pawła_II_w_Lublinie,Dorota Krystyna Kuncewicz,Dorota_Krystyna_Kuncewicz_7pJ,0000-0002-9717-7333
